Time,Type,70W,60W,50W,40W,30W,20W,10W,0W
0,0,0,2,1,1,0,1,2,0,
0,1,5,20,14,14,14,14,17,5,
0,2,32,80,75,64,60,66,68,10,
0,3,945,2334,2089,1695,1647,1586,1517,494,
1,0,0,2,1,1,1,1,1,0,
1,1,4,12,10,9,9,8,8,3,
1,2,10,33,29,26,27,21,21,11,
1,3,867,2356,2234,1568,1684,1474,1395,437,
2,0,1,1,2,1,1,2,1,0,
2,1,5,9,6,9,8,7,8,1,
2,2,18,49,41,40,36,33,33,10,
2,3,800,2301,2289,1487,1733,1356,1596,311,
3,0,1,1,2,1,1,1,2,0,
3,1,10,18,21,19,16,17,18,1,
3,2,23,60,56,52,50,44,46,16,
3,3,867,2234,2100,1579,1573,1468,1613,366,
4,0,1,1,2,1,1,1,2,0,
4,1,8,14,16,14,14,16,16,1,
4,2,14,32,35,37,34,35,40,5,
4,3,867,2234,2078,1625,1496,1570,1481,443,
5,0,1,1,2,1,2,1,2,0,
5,1,7,11,13,13,12,16,16,1,
5,2,15,27,31,27,24,30,35,6,
5,3,1056,2045,2023,1583,1585,1328,1654,475,
6,0,0,0,0,0,0,0,0,0,
6,1,0,0,0,0,0,0,0,0,
6,2,0,6,3,3,1,3,3,2,
6,3,1056,2045,1990,1677,1368,1354,1564,446,
7,0,0,0,0,0,0,0,0,0,
7,1,0,0,0,0,0,0,0,0,
7,2,0,0,0,0,0,0,0,0,
7,3,1045,1934,2001,1688,1432,1404,1488,424,
8,0,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,
8,2,0,0,0,0,0,0,0,0,
8,3,878,2001,2145,1441,1514,1491,1416,459,
9,0,0,0,0,0,0,0,0,0,
9,1,0,0,0,0,0,0,0,0,
9,2,0,0,0,0,0,0,0,0,
9,3,800,2179,1756,1412,1523,1372,1414,511,
10,0,0,0,0,0,0,0,0,0,
10,1,0,0,0,0,0,0,0,0,
10,2,0,0,0,0,0,0,0,0,
10,3,689,2001,1712,1512,1332,1282,1371,435,
11,0,0,0,0,0,0,0,0,0,
11,1,0,0,0,0,0,0,0,0,
11,2,3,6,6,6,3,3,3,0,
11,3,567,1745,1634,1323,1486,1203,1164,581,
12,0,1,2,2,2,3,3,4,0,
12,1,3,6,6,6,9,9,12,0,
12,2,12,24,24,24,36,36,41,0,
12,3,445,1756,1545,1301,1280,1269,1373,395,
13,0,1,2,2,2,2,4,4,0,
13,1,4,8,8,8,11,14,14,0,
13,2,14,37,31,33,35,46,43,1,
13,3,445,1523,1456,1279,1218,1592,1257,280,
14,0,1,2,2,2,2,3,4,0,
14,1,3,6,6,6,6,11,10,0,
14,2,11,28,27,23,28,36,38,5,
14,3,445,1423,1323,1323,1063,1509,936,489,
15,0,1,2,2,1,2,3,4,0,
15,1,2,4,4,2,4,6,8,0,
15,2,7,14,11,10,14,18,22,0,
15,3,334,1412,1234,1067,1071,1090,1283,282,
16,0,0,0,0,0,0,0,0,0,
16,1,0,0,0,0,0,0,0,0,
16,2,0,0,0,0,0,0,0,0,
16,3,445,1290,1156,1045,1034,856,752,143,
17,0,0,0,0,0,0,0,0,0,
