LaunchHours,TrackNum,StepTime,Latitude,Longitude,Height,GeodesicRMSE
   0.0,  0,   0.0, 50.21, -66.376,  28.388,    75.5
   0.0,  0,   3.0, 50.26, -58.467,  28.388,    75.5
   0.0,  0,   6.0, 50.92, -50.086,  28.388,    75.5
   0.0,  0,   9.0, 52.02, -41.013,  28.388,    75.5
   0.0,  0,  12.0, 52.74, -30.810,  28.388,    75.5
   0.0,  0,  15.0, 52.98, -19.526,  28.388,    75.5
   0.0,  0,  18.0, 53.38,  -7.643,  28.388,    75.5
   0.0,  0,  21.0, 53.36,  -4.000,  28.388,    75.5
   6.0,  1,   0.0, 50.21, -66.376,  28.059,    91.3
   6.0,  1,   3.0, 50.55, -59.801,  28.059,    91.3
   6.0,  1,   6.0, 51.06, -51.968,  28.059,    91.3
   6.0,  1,   9.0, 51.42, -43.210,  28.059,    91.3
   6.0,  1,  12.0, 52.03, -33.950,  28.059,    91.3
   6.0,  1,  15.0, 52.37, -23.877,  28.059,    91.3
   6.0,  1,  18.0, 52.79, -13.209,  28.059,    91.3
   6.0,  1,  21.0, 53.16,  -4.000,  28.059,    91.3
  12.0,  2,   0.0, 50.21, -66.376,  27.136,   144.6
  12.0,  2,   3.0, 50.08, -60.658,  27.136,   144.6
  12.0,  2,   6.0, 50.26, -54.339,  27.136,   144.6
  12.0,  2,   9.0, 50.71, -47.357,  27.136,   144.6
  12.0,  2,  12.0, 51.05, -40.255,  27.136,   144.6
  12.0,  2,  15.0, 51.29, -33.620,  27.136,   144.6
  12.0,  2,  18.0, 51.77, -26.364,  27.136,   144.6
  12.0,  2,  21.0, 52.44, -18.437,  27.136,   144.6
  12.0,  2,  24.0, 52.73, -10.197,  27.136,   144.6
  12.0,  2,  27.0, 52.76,  -4.000,  27.136,   144.6
  18.0,  3,   0.0, 50.21, -66.376,  27.044,   126.1
  18.0,  3,   3.0, 50.50, -60.283,  27.044,   126.1
  18.0,  3,   6.0, 50.64, -53.757,  27.044,   126.1
  18.0,  3,   9.0, 50.76, -47.133,  27.044,   126.1
  18.0,  3,  12.0, 51.19, -40.311,  27.044,   126.1
  18.0,  3,  15.0, 51.84, -32.957,  27.044,   126.1
  18.0,  3,  18.0, 52.38, -25.415,  27.044,   126.1
  18.0,  3,  21.0, 52.70, -17.513,  27.044,   126.1
  18.0,  3,  24.0, 52.97,  -9.849,  27.044,   126.1
  18.0,  3,  27.0, 53.02,  -4.000,  27.044,   126.1
  24.0,  4,   0.0, 50.21, -66.376,  27.095,   119.4
  24.0,  4,   3.0, 50.21, -60.555,  27.095,   119.4
  24.0,  4,   6.0, 50.30, -54.243,  27.095,   119.4
  24.0,  4,   9.0, 50.80, -47.762,  27.095,   119.4
  24.0,  4,  12.0, 51.52, -40.652,  27.095,   119.4
  24.0,  4,  15.0, 51.96, -32.607,  27.095,   119.4
  24.0,  4,  18.0, 52.48, -24.570,  27.095,   119.4
  24.0,  4,  21.0, 53.13, -16.688,  27.095,   119.4
  24.0,  4,  24.0, 53.36,  -8.064,  27.095,   119.4
  24.0,  4,  27.0, 53.20,  -4.000,  27.095,   119.4
  30.0,  5,   0.0, 50.21, -66.376,  26.652,   118.0
  30.0,  5,   3.0, 50.31, -60.919,  26.652,   118.0
  30.0,  5,   6.0, 50.55, -55.006,  26.652,   118.0
  30.0,  5,   9.0, 51.03, -48.911,  26.652,   118.0
  30.0,  5,  12.0, 51.47, -42.079,  26.652,   118.0
  30.0,  5,  15.0, 51.98, -34.928,  26.652,   118.0
  30.0,  5,  18.0, 52.59, -27.670,  26.652,   118.0
  30.0,  5,  21.0, 53.10, -20.083,  26.652,   118.0
  30.0,  5,  24.0, 53.46, -12.591,  26.652,   118.0
  30.0,  5,  27.0, 53.56,  -5.277,  26.652,   118.0
  30.0,  5,  30.0, 53.55,  -4.000,  26.652,   118.0
  72.0,  6,   0.0, 50.21, -66.376,  18.053,    69.0
  72.0,  6,   3.0, 50.66, -62.143,  18.053,    69.0
  72.0,  6,   6.0, 51.31, -57.559,  18.053,    69.0
  72.0,  6,   9.0, 51.97, -52.763,  18.053,    69.0
  72.0,  6,  12.0, 52.74, -47.950,  18.053,    69.0
  72.0,  6,  15.0, 53.38, -42.751,  18.053,    69.0
  72.0,  6,  18.0, 53.91, -37.545,  18.053,    69.0
  72.0,  6,  21.0, 54.37, -32.625,  18.053,    69.0
  72.0,  6,  24.0, 54.59, -28.385,  18.053,    69.0
  72.0,  6,  27.0, 54.30, -24.052,  16.219,    69.0
  72.0,  6,  30.0, 53.89, -20.399,  16.219,    69.0
  72.0,  6,  33.0, 53.50, -17.666,  16.219,    69.0
  72.0,  6,  36.0, 53.23, -14.781,  16.219,    69.0
  72.0,  6,  39.0, 53.08, -12.016,  16.219,    69.0
  72.0,  6,  42.0, 52.84,  -9.568,  16.219,    69.0
  72.0,  6,  45.0, 52.80,  -7.493,  16.219,    69.0
  72.0,  6,  48.0, 52.90,  -5.563,  16.219,    69.0
  72.0,  6,  51.0, 53.05,  -4.000,  16.219,    69.0
  78.0,  7,   0.0, 50.21, -66.376,  19.528,    44.4
  78.0,  7,   3.0, 50.76, -62.260,  19.528,    44.4
  78.0,  7,   6.0, 51.51, -57.662,  19.528,    44.4
  78.0,  7,   9.0, 52.31, -52.876,  19.528,    44.4
